day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14
10.3,9.9,13.1,12.7,12.4,10.1,11.5,12.6,12.5,12.4,13.1,11.9,12.6,10.8
10.7,14.3,17.5,15.4,16.1,13.4,14.3,14.6,15.2,15.3,17.4,15.4,17.1,12.8
17.9,15.4,16.3,13.5,14.3,14.6,15.3,15.4,17.7,15.6,17.4,12.9,12.7,13.2
17.7,15.4,16.2,13.4,14.3,14.6,15.3,15.3,17.6,15.5,17.3,12.9,12.7,13.2
18.0,15.4,16.4,13.5,14.3,14.7,15.4,15.4,17.9,15.7,17.6,12.9,12.7,13.2
17.9,15.4,16.4,13.5,14.3,14.7,15.4,15.4,17.9,15.6,17.6,12.9,12.7,13.2
17.9,15.4,16.4,13.5,14.3,14.7,15.3,15.4,17.8,15.6,17.5,12.9,12.7,13.2
16.2,13.9,13.9,14.7,15.0,15.5,17.6,15.9,17.2,12.8,12.6,13.3,14.0,16.2
16.5,13.5,14.3,14.7,15.4,15.4,17.9,15.7,17.6,12.9,12.7,13.2,14.1,16.0
16.5,13.5,14.3,14.7,15.4,15.4,18.0,15.7,17.7,12.9,12.7,13.2,14.1,16.0
14.0,14.7,15.1,15.5,17.8,16.0,17.4,12.9,12.6,13.3,14.0,16.2,13.7,13.5
14.0,14.7,15.1,15.5,17.8,16.0,17.4,12.9,12.6,13.3,14.0,16.2,13.7,13.5
14.0,14.7,15.1,15.5,17.8,15.9,17.4,12.9,12.6,13.3,14.0,16.2,13.7,13.5
16.7,18.7,16.4,16.8,17.1,18.1,17.1,15.9,17.7,16.2,15.8,14.8,14.3,15.2
15.3,15.3,17.7,15.6,17.4,12.9,12.7,13.2,13.9,15.8,13.6,13.2,14.8,17.5
15.4,15.4,18.1,15.8,17.7,12.9,12.7,13.2,14.1,16.0,13.7,13.3,14.9,17.9
15.4,15.4,18.1,15.8,17.7,12.9,12.7,13.2,14.1,16.0,13.7,13.3,14.9,17.9
15.3,17.3,15.6,16.9,12.8,12.7,13.2,13.8,15.7,13.6,13.4,14.6,17.5,17.3
15.5,17.8,16.0,17.3,12.9,12.6,13.3,14.0,16.2,13.7,13.5,14.9,18.4,17.9
12.9,12.6,13.3,14.0,16.2,13.7,13.5,14.9,18.3,17.8,19.1,17.1,17.0,16.3
12.8,12.7,13.2,13.8,15.7,13.6,13.4,14.6,17.5,17.3,18.4,16.7,16.6,16.0
18.8,20.0,19.7,17.7,15.7,14.4,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
18.8,20.0,19.7,17.7,15.7,14.4,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
18.8,20.0,19.7,17.7,15.7,14.3,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
18.9,20.0,19.7,17.7,15.7,14.4,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
18.8,20.0,19.7,17.7,15.7,14.4,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
18.8,20.0,19.6,17.7,15.7,14.4,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
18.8,20.0,19.6,17.7,15.7,14.4,17.1,16.4,19.6,14.9,17.4,16.9,17.6,16.6
19.0,16.4,16.6,17.0,18.0,16.9,16.2,17.7,16.6,15.6,15.0,14.3,15.2,15.3
19.0,16.4,16.6,17.0,18.0,16.9,16.2,17.7,16.6,15.6,15.0,14.3,15.2,15.3
19.0,16.4,16.6,17.0,18.0,16.9,16.2,17.7,16.6,15.6,15.0,14.3,15.2,15.3
19.0,16.4,16.6,16.9,18.0,16.9,16.2,17.7,16.6,15.6,15.0,14.3,15.2,15.3
19.0,16.4,16.6,17.0,18.0,16.9,16.2,17.7,16.6,15.6,15.1,14.3,15.2,15.3
19.0,16.4,16.6,17.0,18.0,16.9,16.2,17.7,16.6,15.6,15.0,14.3,15.2,15.3
19.0,16.4,16.6,17.0,18.0,16.9,16.2,17.7,16.6,15.6,15.0,14.3,15.2,15.3
14.3,15.2,15.4,14.5,14.9,15.5,14.8,14.6,17.1,16.1,14.8,15.6,14.9,16.4
14.3,15.2,15.4,14.5,14.9,15.5,14.8,14.6,17.1,16.1,14.8,15.6,14.9,16.4
14.3,15.2,15.4,14.5,14.9,15.5,14.8,14.6,17.1,16.1,14.8,15.6,14.9,16.4
14.3,15.2,15.4,14.5,15.0,15.5,14.8,14.6,17.1,16.1,14.8,15.6,14.9,16.4
14.3,15.2,15.4,14.5,15.0,15.5,14.8,14.5,17.1,16.1,14.8,15.6,14.9,16.4
16.8,16.2,14.7,15.7,14.7,16.3,18.9,17.8,17.6,15.7,15.0,13.8,13.5,13.5
16.8,16.2,14.7,15.7,14.7,16.3,18.9,17.8,17.6,15.7,15.0,13.8,13.5,13.5
16.8,16.1,14.7,15.7,14.7,16.3,18.9,17.8,17.6,15.7,15.0,13.8,13.5,13.5
13.0,12.8,12.2,12.1,16.9,17.1,17.3,14.9,15.0,14.7,14.3,15.0,15.0,15.0
13.0,12.8,12.2,12.1,16.9,17.1,17.3,14.9,15.0,14.7,14.3,15.0,15.0,15.0
